iter	Passed	Remaining
0	186	93015
1	218	54458
2	246	40869
3	274	34036
4	302	29928
5	329	27142
6	356	25096
7	384	23627
8	413	22533
9	439	21525
10	465	20688
11	491	19973
12	518	19430
13	546	18970
14	573	18556
15	599	18141
16	627	17831
17	655	17562
18	683	17295
19	710	17043
20	736	16801
21	763	16591
22	791	16406
23	823	16327
24	852	16200
25	880	16053
26	909	15932
27	938	15813
28	967	15721
29	995	15592
30	1024	15502
31	1051	15384
32	1077	15253
33	1102	15111
34	1130	15016
35	1155	14891
36	1180	14771
37	1206	14665
38	1230	14550
39	1255	14434
40	1281	14346
41	1306	14250
42	1331	14146
43	1354	14039
44	1379	13952
45	1405	13868
46	1430	13787
47	1455	13705
48	1480	13627
49	1506	13560
50	1532	13494
51	1558	13429
52	1584	13360
53	1608	13286
54	1633	13216
55	1661	13174
56	1689	13127
57	1715	13074
58	1740	13008
59	1767	12958
60	1792	12897
61	1818	12845
62	1845	12799
63	1870	12744
64	1895	12685
65	1920	12628
66	1944	12569
67	1970	12518
68	1997	12478
69	2022	12423
70	2049	12382
71	2075	12337
72	2099	12282
73	2125	12234
74	2150	12185
75	2176	12144
76	2202	12096
77	2228	12056
78	2254	12012
79	2279	11969
80	2303	11916
81	2329	11876
82	2355	11832
83	2383	11802
84	2410	11766
85	2433	11715
86	2459	11674
87	2484	11630
88	2510	11592
89	2539	11569
90	2565	11530
91	2588	11479
92	2613	11439
93	2640	11405
94	2666	11366
95	2692	11329
96	2717	11290
97	2744	11257
98	2771	11227
99	2801	11204
100	2830	11181
101	2855	11143
102	2886	11126
103	2915	11100
104	2948	11091
105	2975	11058
106	3002	11027
107	3028	10990
108	3054	10957
109	3078	10914
110	3104	10878
111	3133	10855
112	3162	10830
113	3191	10806
114	3224	10793
115	3249	10756
116	3276	10724
117	3300	10683
118	3321	10635
119	3347	10599
120	3372	10564
121	3398	10529
122	3424	10495
123	3449	10459
124	3474	10422
125	3501	10392
126	3522	10345
127	3546	10306
128	3570	10269
129	3591	10222
130	3619	10196
131	3641	10150
132	3663	10110
133	3692	10084
134	3712	10037
135	3735	9996
136	3761	9967
137	3784	9926
138	3808	9891
139	3831	9851
140	3859	9826
141	3887	9800
142	3911	9765
143	3932	9723
144	3956	9686
145	3979	9648
146	4003	9613
147	4029	9583
148	4056	9555
149	4080	9522
150	4102	9482
151	4126	9447
152	4147	9405
153	4170	9370
154	4195	9338
155	4218	9303
156	4246	9276
157	4270	9244
158	4295	9211
159	4319	9178
160	4345	9149
161	4373	9124
162	4396	9088
163	4425	9067
164	4445	9026
165	4473	9001
166	4493	8960
167	4523	8939
168	4546	8903
169	4572	8876
170	4592	8836
171	4616	8804
172	4641	8773
173	4666	8742
174	4690	8711
175	4718	8686
176	4742	8653
177	4764	8618
178	4796	8602
179	4821	8571
180	4843	8537
181	4866	8503
182	4893	8476
183	4922	8454
184	4952	8432
185	4980	8408
186	5003	8374
187	5030	8348
188	5056	8319
189	5084	8295
190	5111	8269
191	5133	8234
192	5164	8215
193	5191	8188
194	5213	8154
195	5241	8129
196	5262	8093
197	5290	8069
198	5317	8043
199	5346	8020
200	5375	7996
201	5397	7962
202	5431	7946
203	5454	7914
204	5480	7886
205	5503	7853
206	5541	7843
207	5569	7819
208	5601	7799
209	5622	7764
210	5649	7737
211	5672	7706
212	5693	7671
213	5720	7644
214	5747	7619
215	5776	7595
216	5806	7573
217	5834	7546
218	5859	7518
219	5893	7500
220	5925	7480
221	5954	7456
